municipio_csv,ibge_json,nome_json,nome_atualizado,territorio
Acari,2400109,Acari,Acari,Seridó
Afonso Bezerra,2400307,Afonso Bezerra,Afonso Bezerra,Sertão Central Cabugi e Litoral Norte
Alexandria,2400505,Alexandria,Alexandria,Alto Oeste
Almino Afonso,2400604,Almino Afonso,Almino Afonso,Alto Oeste
Alto do Rodrigues,2400703,Alto do Rodrigues,Alto do Rodrigues,Assu/Mossoró
Angicos,2400802,Angicos,Angicos,Sertão Central Cabugi e Litoral Norte
Antônio Martins,2400901,Antônio Martins,Antônio Martins,Alto Oeste
Apodi,2401008,Apodi,Apodi,Sertão do Apodi
Areia Branca,2401107,Areia Branca,Areia Branca,Assu/Mossoró
Arês,2401206,Arês,Arês,Agreste Litoral Sul
Açu,2400208,Assu,Assu,Assu/Mossoró
Baraúna,2401453,Baraúna,Baraúna,Assu/Mossoró
Barcelona,2401503,Barcelona,Barcelona,Potengi
Baía Formosa,2401404,Baía Formosa,Baía Formosa,Agreste Litoral Sul
Bento Fernandes,2401602,Bento Fernandes,Bento Fernandes,Mato Grande
Januário Cicco,2405306,Boa Saude,Boa Saude,Trairi
Bodó,2401651,Bodó,Bodó,Seridó
Bom Jesus,2401701,Bom Jesus,Bom Jesus,Potengi
Brejinho,2401800,Brejinho,Brejinho,Agreste Litoral Sul
Caicó,2402006,Caicó,Caicó,Seridó
Caiçara do Norte,2401859,Caiçara do Norte,Caiçara do Norte,Mato Grande
Caiçara do Rio do Vento,2401909,Caiçara do Rio do Vento,Caiçara do Rio do Vento,Sertão Central Cabugi e Litoral Norte
Augusto Severo,2401305,Campo Grande,Campo Grande,Sertão do Apodi
Campo Redondo,2402105,Campo Redondo,Campo Redondo,Trairi
Canguaretama,2402204,Canguaretama,Canguaretama,Agreste Litoral Sul
Caraúbas,2402303,Caraúbas,Caraúbas,Sertão do Apodi
Carnaubais,2402501,Carnaubais,Carnaubais,Assu/Mossoró
